transaction_id,region,protocol_type,transaction_value_usd,fraud_detected,security_level_score,expected_profit_usd,latency_ms
4213,East Asia,Quantum,214.32,0,85.22593683597819,94.54291391343423,73.72
4223,Latin America,Classical,739.94,0,78.0463349861021,299.847125548082,100.36
6631,Europe,Classical,2668.64,0,57.4502869181083,806.6002684057026,139.35
2920,Europe,Classical,441.95,0,60.73457187932041,140.83747021032826,130.13
4656,North America,Classical,533.49,0,75.30712902399725,208.88035131506143,96.39
3821,Europe,Classical,179.08,0,62.76121208237113,58.88258929855512,73.42
3,South Asia,Classical,193.21,0,81.28147865841174,81.42012245795867,89.7
1907,Latin America,Classical,1572.08,1,83.0925964553452,283.7022451775954,46.82
7338,Europe,Quantum,218.91,1,84.57500437833849,41.127721042310405,213.08
786,Latin America,Quantum,1811.53,0,79.45222177338019,746.823366545657,91.8
2580,Middle East,Quantum,762.6,0,90.16057082662536,355.2212565619226,139.74
5101,East Asia,Classical,201.34,0,76.78158921753392,80.3161258652914,102.58
4228,Middle East,Quantum,261.81,0,93.50265943722596,126.32680633630063,106.35
2116,North America,Quantum,179.65,0,84.6737611176574,78.75295592393577,116.55
5113,Middle East,Classical,284.59,0,74.11974133790038,109.73753593676534,73.48
503,Europe,Classical,290.27,1,70.1658372738777,33.6217379274424,123.91
7351,Europe,Quantum,723.37,0,91.63801177128936,342.291492874988,158.14
3053,Europe,Classical,366.68,1,77.11152994356799,55.20647899853755,144.74
3495,Middle East,Quantum,715.24,0,91.54807609364312,338.12282972608654,128.11
6838,Middle East,Quantum,346.2,0,86.67808320075139,155.23276202050064,133.91
7008,North America,Classical,257.63,0,68.46737218714001,92.06069548286442,30.28
4573,Europe,Classical,913.76,0,71.09669306292193,338.53297126587773,175.29
4586,Latin America,Classical,370.32,1,67.16065512263488,37.329469025070765,133.0
6127,East Asia,Classical,302.61,0,78.89953735896013,123.91809500097465,60.44
2690,Europe,Classical,579.42,0,63.84232536918984,193.6489008270799,88.42
3970,Europe,Quantum,331.66,0,91.60787472877882,156.88823866273395,123.41
7361,Middle East,Classical,299.18,0,63.32618202029678,99.21733568416197,103.8
5070,North America,Classical,827.7,0,62.761356142437776,272.15337239547875,96.36
5049,Europe,Classical,54.21,0,62.99466541542227,17.887854060850206,154.6
1970,North America,Classical,608.25,0,67.10651951364738,213.2114524708801,107.55
6191,Middle East,Classical,220.44,0,70.70828116126381,81.24126749594497,162.29
1355,East Asia,Classical,503.08,0,74.67083387992643,195.37321554156696,137.07
2647,Latin America,Quantum,106.99,0,82.03203447276955,45.48788684120807,148.75
7138,Middle East,Classical,88.97,1,76.28102092837555,13.025662159987869,222.76
7122,North America,Classical,390.14,0,66.92976246218494,136.41198763498417,148.63
2798,Middle East,Classical,194.82,0,51.72926552201864,53.31177754499836,96.91
3377,South Asia,Classical,126.32,0,65.11455483251635,43.021152832217325,123.37
4553,North America,Quantum,128.95,0,81.44480924728654,54.445790762188,41.32
754,Europe,Classical,144.35,0,67.8823170722373,51.15931234688727,211.39
1927,East Asia,Classical,276.2,0,64.25316106842762,92.87661543549854,161.97
5853,South Asia,Quantum,173.84,0,86.83932600711655,78.08834216538571,129.37
6117,Middle East,Classical,259.23,0,71.63827609214346,96.74240155683177,97.11
3479,East Asia,Classical,669.44,0,71.56886905699416,249.59691850757088,155.07
7306,Latin America,Classical,84.15,0,68.51486454133949,30.089879255768597,146.96
6827,North America,Classical,219.61,0,59.215206717900216,68.31540773659034,134.39
3653,South Asia,Classical,1717.13,0,73.35163235961238,655.5283923683062,117.6
5002,East Asia,Classical,1007.71,0,74.33129464070136,389.63759461190585,129.56
3599,Europe,Quantum,469.86,0,90.6297729157397,219.96442551094728,139.39
4651,North America,Classical,3579.12,0,70.36265629717501,1312.868752031725,111.0
3143,East Asia,Classical,534.04,0,59.7717633135681,167.61316239988955,191.9
7345,East Asia,Quantum,301.75,0,87.4975394027803,136.5381625739448,135.86
719,North America,Classical,224.59,0,70.70265069867429,82.76439160207629,149.02
4127,Middle East,Quantum,186.8,0,84.06122854930618,81.31518746505198,124.48
4988,Middle East,Classical,163.71,0,60.55046209529001,52.01923074809964,100.16
5174,North America,Classical,526.07,0,59.62080508416907,164.71463465314417,149.43
3916,Europe,Classical,441.69,0,61.36127311508518,142.13865361100986,98.33
7163,Middle East,Classical,979.16,0,69.48320839470018,354.8632916587732,92.08
7257,North America,Classical,602.93,0,71.64525948922363,225.029331519188,186.45
4752,East Asia,Quantum,3672.19,1,84.33418382018888,685.491082413297,117.49
2991,North America,Classical,75.54,0,71.08925524410915,27.983511705700028,81.79
1017,North America,Quantum,519.79,0,90.8083266441318,243.80315053176636,103.18
1292,North America,Classical,381.75,0,64.32222483361832,128.501296651169,155.55
5133,North America,Classical,67.5,0,57.88995708114275,20.55036051488568,170.81
1146,Latin America,Classical,853.34,0,72.86850336313061,323.7081432994694,81.1
4763,South Asia,Quantum,1525.59,0,86.6084999553824,683.5291572346591,131.21
1637,Europe,Quantum,755.56,0,88.12105504164151,344.2371217363133,73.71
6342,Middle East,Classical,610.86,0,74.3937441654593,236.38371280456235,96.04
6992,Europe,Quantum,620.42,0,94.28939230172952,301.80142385919515,78.0
7187,East Asia,Classical,298.41,0,69.97936877867399,108.88886718622054,98.61
763,Europe,Quantum,95.02,0,88.64314034905738,43.53965597983717,99.88
5062,Latin America,Classical,390.98,0,66.76407810281725,136.38179628319745,164.94
4346,Europe,Classical,637.24,0,76.83022721543357,254.35506995381445,86.23
6272,Latin America,Quantum,145.77,0,94.5321702295947,71.0863222718401,88.84
1814,North America,Classical,5331.96,0,62.73727619598351,146.04521966080677,475.38
6920,Europe,Classical,218.23,0,62.22291190819953,71.16798032863191,95.21
2259,Europe,Classical,237.5,0,59.23970606347024,73.90965095037092,141.72
6457,Middle East,Classical,235.02,1,62.13265921693506,17.782387845820388,160.5
3383,North America,Classical,4586.08,0,67.75812895842921,1622.5122002683652,106.41
6209,Europe,Quantum,959.44,1,91.09198327941652,211.51806218801693,133.15
2609,Middle East,Classical,479.49,1,64.11825778369258,41.04016712351381,132.58
